step,phi_proxy
5,0.0000
10,0.0000
15,0.0000
20,0.0000
25,0.0000
30,0.0000
35,0.0000
40,0.0000
45,0.0000
50,0.0000
55,0.0000
60,0.0000
65,0.0000
70,0.0000
75,0.0000
80,0.0000
85,0.0000
90,0.0000
95,0.0000
100,0.0000
105,0.0000
110,0.0000
115,0.0000
120,0.0000
125,0.0000
130,0.0000
135,0.0000
140,0.0000
145,0.0000
150,0.0000
155,0.0000
160,0.0000
165,0.0000
170,0.0000
175,0.0000
180,0.0000
185,0.0000
190,0.0000
195,0.0000
200,0.0000
205,0.0000
210,0.0000
215,0.0000
220,0.0000
225,0.0000
230,0.0000
235,0.0000
240,0.0000
245,0.0000
250,0.0000
255,0.0000
260,0.0000
265,0.0000
270,0.0000
275,0.0000
280,0.0000
285,0.0000
290,0.0000
295,0.0000
300,0.0000
305,0.0000
310,0.0000
315,0.0000
320,0.0000
325,0.0000
330,0.0000
335,0.0000
340,0.0000
345,0.0000
350,0.0000
355,0.0000
360,0.0000
365,0.0000
370,0.0000
375,0.0000
380,0.0000
385,0.0000
390,0.0000
395,0.0000
400,0.0000
405,0.0000
410,0.0000
415,0.0000
420,0.0000
425,0.0000
430,0.0000
435,0.0000
440,0.0000
445,0.0000
450,0.0000
455,0.0000
460,0.0000
465,0.0000
470,0.0000
475,0.0000
480,0.0000
485,0.0000
490,0.0000
495,0.0000
500,0.0000
505,0.0000
510,0.0000
515,0.0000
520,0.0000
525,0.0000
530,0.0000
535,0.0000
540,0.0000
545,0.0000
550,0.0000
555,0.0000
560,0.0000
565,0.0000
570,0.0000
575,0.0000
580,0.0000
585,0.0000
590,0.0000
595,0.0000
600,0.0000
605,0.0000
610,0.0000
615,0.0000
620,0.0000
625,0.0000
630,0.0000
635,0.0000
640,0.0000
645,0.0000
650,0.0000
